context,target,generated_response,bleu-2,rouge-l
"User: Hello! I'm just here because recently I haven't felt motivated. I miss my friends and I want to see them and do things, but everytime they offer I am too unmotivated to go out even though I want to. And I live with one of my best friends, and I don't even do anything with her

Assistant: So you are concerned that you are feeling unmotivated and don't feel like doing anything.
User: yes prettu much

Assistant: Have you felt like this for a while or has it only been a recent change in your feelings and motivation?
User: It's sort of on and off recently. I'll get little bursts of motivation, and then it quickly goes away. Pretty much every other day

Assistant: ",That must be a real challenge and if it is a recent change it is natural to feel concerned about this., It sounds like you have been feeling a little low and unmotivated. ,0.0184,0.129
"User: yes prettu much

Assistant: Have you felt like this for a while or has it only been a recent change in your feelings and motivation?
User: It's sort of on and off recently. I'll get little bursts of motivation, and then it quickly goes away. Pretty much every other day

Assistant: That must be a real challenge and if it is a recent change it is natural to feel concerned about this.
User: Oh really? I hope so I'm worried that it isn't natural since I haven't always been like this

Assistant: ","I do not always feel positive and motivated myself and have spoken to a professional in the past which helped me understand why this is, for me it was linked to a lack of sleep.", I have had times in my life where I felt like this and I understand how frustrating that can be.,0.0188,0.1633
"User: It's sort of on and off recently. I'll get little bursts of motivation, and then it quickly goes away. Pretty much every other day

Assistant: That must be a real challenge and if it is a recent change it is natural to feel concerned about this.
User: Oh really? I hope so I'm worried that it isn't natural since I haven't always been like this

Assistant: I do not always feel positive and motivated myself and have spoken to a professional in the past which helped me understand why this is, for me it was linked to a lack of sleep.

User: Oh so me feeling this way could be a result of other things that maybe aren't at the healthiest in my life?

Assistant: ",People's moods can be regulated by many things. I know for example that sleep and diet can play a big part in some cases., It is very important to get to sleep at the same time each day and eat a regular meal at the same time.,0.0233,0.1463
"Assistant: I do not always feel positive and motivated myself and have spoken to a professional in the past which helped me understand why this is, for me it was linked to a lack of sleep.

User: Oh so me feeling this way could be a result of other things that maybe aren't at the healthiest in my life?

Assistant: People's moods can be regulated by many things. I know for example that sleep and diet can play a big part in some cases. 
User: I feel like I eat okay and I get enough sleep, but I do work a lot. Very long days and I feel drained at the end of the day. That seems like the obvious reason, but usually I'm still able to do stuff afterwards...

User: So I'm not sure if that is truly why

Assistant: ",have you tried talking to your friends and telling them now you feel? They may not know you are feeling this may and might be able to help you and provide support., It can be hard to get a good night's sleep when you have a lot going on in your life. Have you considered getting an alarm and getting up at the same time every day?,0.0243,0.1404
"Assistant: People's moods can be regulated by many things. I know for example that sleep and diet can play a big part in some cases. 
User: I feel like I eat okay and I get enough sleep, but I do work a lot. Very long days and I feel drained at the end of the day. That seems like the obvious reason, but usually I'm still able to do stuff afterwards...

User: So I'm not sure if that is truly why

Assistant: have you tried talking to your friends and telling them now you feel? They may not know you are feeling this may and might be able to help you and provide support.
User: That's true, I haven't really talked to them about it. I usually have a hard time opening up

Assistant: ",What is it about opening up that you find difficult? is it sharing your feelings with others?, are you able to go to a support group?,0.0153,0.087
"User: So I'm not sure if that is truly why

Assistant: have you tried talking to your friends and telling them now you feel? They may not know you are feeling this may and might be able to help you and provide support.
User: That's true, I haven't really talked to them about it. I usually have a hard time opening up

Assistant: What is it about opening up that you find difficult? is it sharing your feelings with others?
User: I guess I'm scared I'm going to come across weaker to them

Assistant: ",I think you have reached out for support and so you clearly want to do something about this which is a great first step. I think you can get over these fears and overcome them.," i understand that and i know you are scared because you do not want to feel weak. i understand that. but i also understand that you are scared of being judged. however, i know that the best way to move forward is to just be honest and tell them that you are scared and that you are not sure if you are feeling the right way.",0.0458,0.1515
"User: That's true, I haven't really talked to them about it. I usually have a hard time opening up

Assistant: What is it about opening up that you find difficult? is it sharing your feelings with others?
User: I guess I'm scared I'm going to come across weaker to them

Assistant: I think you have reached out for support and so you clearly want to do something about this which is a great first step. I think you can get over these fears and overcome them.
User: Yeah. It's just easier for me to do it anonymously but I do need to talk to the people that are important to me

Assistant: ",I can tell you are anxious about it and fear coming across as weak but I think that would be a positive step for you., I can understand that. I think it is great that you have reached out for support and are working on it.,0.1804,0.2439
"User: I guess I'm scared I'm going to come across weaker to them

Assistant: I think you have reached out for support and so you clearly want to do something about this which is a great first step. I think you can get over these fears and overcome them.
User: Yeah. It's just easier for me to do it anonymously but I do need to talk to the people that are important to me

Assistant: I can tell you are anxious about it and fear coming across as weak but I think that would be a positive step for you.
User: Yeah, I think so too :)

Assistant: ",I think you can do it and overcome this issue!, I think you have the strength to do this and I think you will do a great job.,0.198,0.4167
"User: Yeah. It's just easier for me to do it anonymously but I do need to talk to the people that are important to me

Assistant: I can tell you are anxious about it and fear coming across as weak but I think that would be a positive step for you.
User: Yeah, I think so too :)

Assistant: I think you can do it and overcome this issue!
User: Thank you!

Assistant: ",You are welcome, I am glad I could help you and I hope you have a good rest of your week and good luck with this!,0,0.0
"User: Yeah, I think so too :)

Assistant: I think you can do it and overcome this issue!
User: Thank you!

Assistant: You are welcome
User: I'll do my best

Assistant: ",Thanks for talking it through, Thank you for sharing your problem and reaching out to me. I hope you will be able to overcome this issue.,0.0154,0.0833
Assistant: ,Hello! Is there something I can help you with?," Hello there. How are you doing today?
",0.0367,0.25
"Assistant: Hello! Is there something I can help you with?
Assistant: ",Would you like to tell me how you're feeling?, Is there something I can help you with?,0.0373,0.1176
"Assistant: Hello! Is there something I can help you with?
Assistant: Would you like to tell me how you're feeling?
User: yes
User: i have been facing trouble in my job
Assistant: ","Right now, are you still employed?", I'm sorry to hear that. What's going on?,0,0.0
"Assistant: Would you like to tell me how you're feeling?
User: yes
User: i have been facing trouble in my job
Assistant: Right now, are you still employed?
User: yes
Assistant: ",What kind of troubles are you facing at your job?, That's good. So what kinds of trouble are you having?,0.1826,0.3
"User: i have been facing trouble in my job
Assistant: Right now, are you still employed?
User: yes
Assistant: What kind of troubles are you facing at your job?
User: there is an announcement that my company has decided to give layoff to 50 percent of their employees
Assistant: ","Oh, I can understand how worried you must be! Do you think you will be laid off?", That's a difficult situation to be in.,0.0117,0.0909
"User: yes
Assistant: What kind of troubles are you facing at your job?
User: there is an announcement that my company has decided to give layoff to 50 percent of their employees
Assistant: Oh, I can understand how worried you must be! Do you think you will be laid off?
User: yes  
Assistant: ",I am so very sorry to hear that. Do you mind me asking what type of job it is?, It is really a difficult situation. What kinds of work are you doing now?,0.0232,0.0606
"User: yes  
Assistant: I am so very sorry to hear that. Do you mind me asking what type of job it is?
User: i am working as a supervisor in a private manufacturing company
User: currently working from home
User: feeling so depressed regarding this issue
Assistant: ",I have been in a similar situation and understand how scary it is. Have you been looking for another job or are you waiting to see if you are laid off?," I worked in a manufacturing company for a few years too, I was a quality control supervisor. It was very stressful and I was a very depressed person at the time.",0.0733,0.16
"User: i am working as a supervisor in a private manufacturing company
User: currently working from home
User: feeling so depressed regarding this issue
Assistant: I have been in a similar situation and understand how scary it is. Have you been looking for another job or are you waiting to see if you are laid off?
User: yes i am trying for another job, but is not so easy to get in this covid 19 pandemic situation
Assistant: ","Yes! The pandemic has turned the world upside down, it seems like."," It's tough, I understand. Do you have any family or friends you can reach out to for support?",0,0.0
"User: feeling so depressed regarding this issue
Assistant: I have been in a similar situation and understand how scary it is. Have you been looking for another job or are you waiting to see if you are laid off?
User: yes i am trying for another job, but is not so easy to get in this covid 19 pandemic situation
Assistant: Yes! The pandemic has turned the world upside down, it seems like. 
User: yes that is main reason for depression
Assistant: ",Have you thought of going back to school or have you completed your education?, What have you been doing to keep your mind off of work?,0.1647,0.24
"User: yes i am trying for another job, but is not so easy to get in this covid 19 pandemic situation
Assistant: Yes! The pandemic has turned the world upside down, it seems like. 
User: yes that is main reason for depression
Assistant: Have you thought of going back to school or have you completed your education?
User: i have completed my bachelor degree
Assistant: ",I am so very sorry that you are struggling with depression., That's good! That's a big step!,0,0.0
"User: yes that is main reason for depression
Assistant: Have you thought of going back to school or have you completed your education?
User: i have completed my bachelor degree
Assistant: I am so very sorry that you are struggling with depression. 
User: yes, i cant know how to get  normal from this depression
Assistant: ","You have been a supervisor and you already have your degree, so you are ahead of lots of people. Have you been able to see a doctor or a therapist to talk to?", Have you talked to your family about your feelings?,0.0164,0.2424
"User: i have completed my bachelor degree
Assistant: I am so very sorry that you are struggling with depression. 
User: yes, i cant know how to get  normal from this depression
Assistant: You have been a supervisor and you already have your degree, so you are ahead of lots of people. Have you been able to see a doctor or a therapist to talk to?
User: yes , 
Assistant: ","And I know that sounded presumptuous of me to say ""you are ahead of lots of people"", but it does seem like a ""positive"" in your favor.", I understand how you feel. I had a period of depression and felt very low. I was able to get a therapist and that helped me get through it. ,0.0272,0.2
"Assistant: I am so very sorry that you are struggling with depression. 
User: yes, i cant know how to get  normal from this depression
Assistant: You have been a supervisor and you already have your degree, so you are ahead of lots of people. Have you been able to see a doctor or a therapist to talk to?
User: yes , 
Assistant: And I know that sounded presumptuous of me to say ""you are ahead of lots of people"", but it does seem like a ""positive"" in your favor. 
Assistant: ",I'm glad you have been able to talk to someone., You seem like a very intelligent and caring person and I hope that you are able to get the help that you need.,0.077,0.2069
"User: yes , 
Assistant: And I know that sounded presumptuous of me to say ""you are ahead of lots of people"", but it does seem like a ""positive"" in your favor. 
Assistant: I'm glad you have been able to talk to someone. 
User: thank you
User: i am also feeling so relieved while talking with you
Assistant: ","I feel like the world is in some kind of ""holding"" pattern until the pandemic is under control.", I hope things go well for you. ,0.0101,0.0833
"Assistant: And I know that sounded presumptuous of me to say ""you are ahead of lots of people"", but it does seem like a ""positive"" in your favor. 
Assistant: I'm glad you have been able to talk to someone. 
User: thank you
User: i am also feeling so relieved while talking with you
Assistant: I feel like the world is in some kind of ""holding"" pattern until the pandemic is under control. 
Assistant: ",I'm glad just talking has made you feel a little better!, The pandemic has been around for a long time. ,0.0422,0.1905
"User: i am also feeling so relieved while talking with you
Assistant: I feel like the world is in some kind of ""holding"" pattern until the pandemic is under control. 
Assistant: I'm glad just talking has made you feel a little better! 
User: yes this pandemic situation gives more tough situations
User: lets pray that the pandemic situation will come to an end soon
Assistant: ",Amen to that!," I know it can be difficult to find motivation to talk about things that are ""not happening."" ",0.0192,0.1
"User: yes this pandemic situation gives more tough situations
User: lets pray that the pandemic situation will come to an end soon
Assistant: Amen to that! 
User: amen
User: thanks
Assistant: ",I am hoping that you will find a new (and better!) job that you absolutely love!  Stay safe...and positive!, You're welcome!,0,0.0
"User: I lost my job recently that's why I'm very sad.
Assistant: ",Hello, Hello! Hope you are doing well.,0,0.0
"User: I lost my job recently that's why I'm very sad.
Assistant: Hello
Assistant: ",So you lost your job that is why you are sad right?," I am so sorry to hear that, did you lose your job recently?",0.1387,0.25
"User: I lost my job recently that's why I'm very sad.
Assistant: Hello
Assistant: So you lost your job that is why you are sad right?
User: I'm very sad about my situation 
Assistant: ",Okay so what kind of job was it?, What made you lose your job?,0,0.0
"User: I lost my job recently that's why I'm very sad.
Assistant: Hello
Assistant: So you lost your job that is why you are sad right?
User: I'm very sad about my situation 
Assistant: Okay so what kind of job was it?
Assistant: ",And why do you think you lost your job?, Have you been able to find another job?,0.0527,0.25
"User: I'm very sad about my situation 
Assistant: Okay so what kind of job was it?
Assistant: And why do you think you lost your job?
User: I'm very sad because in this coronavirus situation its very difficult to get new job  
User: because of this coronavirus situation
Assistant: ",Okay yes I agree with you I was also trying to find a new job since I had more time after graduating., I understand how you feel. I had to look for new jobs during the pandemic too.,0.1087,0.2286
"User: I'm very sad because in this coronavirus situation its very difficult to get new job  
User: because of this coronavirus situation
Assistant: Okay yes I agree with you I was also trying to find a new job since I had more time after graduating.
User: yes i now its very difficult time for everyone 
User: Now I'm looking for new job
Assistant: ",Okay since you are trying to find a new job you could try to learn some new techniques online. So you could put that on your resume to keep you from feeling sad.," I would recommend you to apply for jobs that are online, because that will help you to save time and money.",0.0213,0.0909
"User: Now I'm looking for new job
Assistant: Okay since you are trying to find a new job you could try to learn some new techniques online. So you could put that on your resume to keep you from feeling sad.
User: Now I'm waiting for to when government will opening all business
User: Thanks, Yes i will hope i can come from this situation 
User: yes I'm taking some trainings online 
Assistant: ",Oh that is good. That will make you different from other people so when government opens up it will be easier for you to get in., That is a good idea.,0.0015,0.2069
"Assistant: Okay since you are trying to find a new job you could try to learn some new techniques online. So you could put that on your resume to keep you from feeling sad.
User: Now I'm waiting for to when government will opening all business
User: Thanks, Yes i will hope i can come from this situation 
User: yes I'm taking some trainings online 
Assistant: Oh that is good. That will make you different from other people so when government opens up it will be easier for you to get in.
Assistant: ",So I would say to keep your hope up by trying to learn new things so you do not feel sad., I am glad you are trying to learn new things.,0.1489,0.4
"User: yes I'm taking some trainings online 
Assistant: Oh that is good. That will make you different from other people so when government opens up it will be easier for you to get in.
Assistant: So I would say to keep your hope up by trying to learn new things so you do not feel sad.
User: Yes I have hope and i'm thinking positive
User: Thanks for giving me support 
Assistant: ",Yeah that is the best medicine for right now. Your welcome., I am glad I could help.,0,0.0
"Assistant: Oh that is good. That will make you different from other people so when government opens up it will be easier for you to get in.
Assistant: So I would say to keep your hope up by trying to learn new things so you do not feel sad.
User: Yes I have hope and i'm thinking positive
User: Thanks for giving me support 
Assistant: Yeah that is the best medicine for right now. Your welcome.
Assistant: ",Thank you for giving your time to talk to me., I hope you feel better soon.,0.0296,0.1333
"User: Yes I have hope and i'm thinking positive
User: Thanks for giving me support 
Assistant: Yeah that is the best medicine for right now. Your welcome.
Assistant: Thank you for giving your time to talk to me.

User: I'm still struggling to get new job that's why I'm sad
Assistant: ",Yeah in this economy right now not that many places are hiring right now so it is hard. Or they are hiring but a lot of people are applying so they are looking at everybody and choosing the best canidate., Have you tried to search on facebook or google?,0,0.0
"Assistant: Yeah that is the best medicine for right now. Your welcome.
Assistant: Thank you for giving your time to talk to me.

User: I'm still struggling to get new job that's why I'm sad
Assistant: Yeah in this economy right now not that many places are hiring right now so it is hard. Or they are hiring but a lot of people are applying so they are looking at everybody and choosing the best canidate.
User: yes its very difficult time i know, Thanks for your support
Assistant: ",Your welcome., It's ok to feel this way. You are doing the best you can. I know you are doing great!,0,0.0
"User: I'm still struggling to get new job that's why I'm sad
Assistant: Yeah in this economy right now not that many places are hiring right now so it is hard. Or they are hiring but a lot of people are applying so they are looking at everybody and choosing the best canidate.
User: yes its very difficult time i know, Thanks for your support
Assistant: Your welcome.
User: good to having you
Assistant: ",You too, you too,0.2236,0.5
"User: Hello.

Assistant: ",Hello, Hello! How are you?,0,0.0
"User: Hello.

Assistant: Hello

Assistant: ",How are you tonight?, What's on your mind?,0,0.0
"User: Hello.

Assistant: Hello

Assistant: How are you tonight?

User: Feeling depressed as usual
Assistant: ",I'm sorry to hear that. What has you feeling depressed?, What is making you feel depressed?,0.0513,0.375
"Assistant: How are you tonight?

User: Feeling depressed as usual
Assistant: I'm sorry to hear that. What has you feeling depressed?

User: Everything. Life. It's awful. How many years do you really need to stop enjoying this place.
User: Ya know what I mean

Assistant: ","I understand, but just to make sure I know what is going on fully, you are depressed in general and don't know how to get through it."," So you feel like you just don't enjoy where you live. Is that correct?
",0.016,0.1111
"Assistant: I understand, but just to make sure I know what is going on fully, you are depressed in general and don't know how to get through it. 

User: I would say that is fairly accurate.

User: Often times, I wish an asteroid would come down and begin the apocolypse. 

User: Something to break up the routine

User: Don't you find life utterly boring and repetitive? 

Assistant: ","Just from these few messages, I can tell you are extremely upset about this."," I think that is a good way to put it. It sounds like you are a little overwhelmed with life and you just want to get through it. 
",0.063,0.1538
"User: I would say that is fairly accurate.

User: Often times, I wish an asteroid would come down and begin the apocolypse. 

User: Something to break up the routine

User: Don't you find life utterly boring and repetitive? 

Assistant: Just from these few messages, I can tell you are extremely upset about this. 

Assistant: ","I have had problems in the past with depression as well, I used to have severe anxiety as well.", I do find life very boring at times. I have to force myself to stay positive.,0.107,0.2
"Assistant: Just from these few messages, I can tell you are extremely upset about this. 

Assistant: I have had problems in the past with depression as well, I used to have severe anxiety as well. 

User: Sorry to hear that. Anxiety and depression are dual bladed sword of badness

User: Really bad mixture

User: I never struggled too much with anxiety. 

Assistant: ",It was tough. Have you thought about consulting a psychological professional to help with this issue? I did when I was going through my depression and it really helped.," I understand.  I was told once that the best way to deal with anxiety is to do physical activities that you enjoy.  I was a weightlifter and a runner.  I also have a friend that I was able to help with depression by getting to know him and listening to him.  
",0.1138,0.2581
"User: I never struggled too much with anxiety. 

Assistant: It was tough. Have you thought about consulting a psychological professional to help with this issue? I did when I was going through my depression and it really helped. 

User: NO! I would never do that. I'm already on anti depressants. That didn't help at all. 

User: I just don't understand why people like life enough to make more people!

User: It is madness!

Assistant: ","I didn't like the meds that they gave me either, however I felt that talking to someone helped me a great deal."," I understand. I was also on anti depressants, and they didn't help me at all. 
",0.0306,0.1765
"User: It is madness!

Assistant: I didn't like the meds that they gave me either, however I felt that talking to someone helped me a great deal. 

User: Well, I'm glad it helped you. I'm not just saying that. Being depressed is awful. 

User: 
What did it do for you?

User: How so?

Assistant: ",It was good to be able to talk to an objective third party about what was going on. It allowed me to get my feelings out without the threat of being judges or harrassed.," I had been to the hospital and it had gotten worse. I was so tired and it was hard to sleep. It was just so rough.
",0.0706,0.1667
"User: 
What did it do for you?

User: How so?

Assistant: It was good to be able to talk to an objective third party about what was going on. It allowed me to get my feelings out without the threat of being judges or harrassed. 

User: I understand. Well, I appreciate your time and advice. I just don't feel like you and I are understanding each other very well, though. Anyway, you made your bonus. I appreciate you trying to help me, though

User: We got to talk for another 4 minutes though

Assistant: ",Have you tried to focus on more of your hobbies in order to get your mind off of things?, I'm glad we were able to talk. I hope you can find a way to express yourself to your partner. ,0.0324,0.1714
"User: I understand. Well, I appreciate your time and advice. I just don't feel like you and I are understanding each other very well, though. Anyway, you made your bonus. I appreciate you trying to help me, though

User: We got to talk for another 4 minutes though

Assistant: Have you tried to focus on more of your hobbies in order to get your mind off of things?

User: I used to have more hobbies. Now, I'm not so motivated to do much of anything anymore.

User: I used to play instruments. I like hiking a little, but it is winter now. So... I can't even do that. Plus... I have to travel really far to do that because there is nothing to hike that is very close

Assistant: ",Why did you stop playing insturments?, Do you have any friends or family that you could reach out to for support?,0.0218,0.1
"User: I just lost interest. I'm losing interest in everything, man

User: I think it's time for my heart to give out and make space for the new, ya know

User: Cross my fingers at least

User: Dying in your sleep would be best

User: Wouldn't that be nice? You just drift off after your heart stops in a dream?

Assistant: ",I certainly hope you don't do that!," Well, I would be so happy to hear that you are feeling better. ",0.0358,0.1905
"User: Wouldn't that be nice? You just drift off after your heart stops in a dream?

Assistant: I certainly hope you don't do that!

User: Well, that's nice. You are a nice person. 

User: Anyway, You finally earned your 3 dollars and 50 cents. You tried. I appreciate it. 

User: Goodbye fellow mturker slave

Assistant: ",I apologize that I wasn't able to make you feel any better," I appreciate you too, I hope you have a good night!
",0.0477,0.2
"Assistant: I apologize that I wasn't able to make you feel any better

User: NO!

User: DOnt you dare

User: It is all k

User: goodbye

Assistant: ",Have a wonderful evening!, Sorry. I can't see the end of the conversation and can't see the end of the world.,0,0.0
Assistant: ,Good evening. How are you feeling today?," Hello, how are you doing today?",0.2677,0.4615
"Assistant: Good evening. How are you feeling today? 
User: Good afternoon
Assistant: ",Is there anything you'd like to talk about?, I am doing well. Is there anything you'd like to talk to me about? ,0.5136,0.7619
"Assistant: Good evening. How are you feeling today? 
User: Good afternoon
Assistant: Is there anything you'd like to talk about? 
User: I am not happy at all
Assistant: ","I am very sorry to hear that, this should be a fun time of year. What is going on in your life?", I am sorry to hear that. Is there something in particular that is bothering you? ,0.1983,0.3333
"User: Good afternoon
Assistant: Is there anything you'd like to talk about? 
User: I am not happy at all
Assistant: I am very sorry to hear that, this should be a fun time of year. What is going on in your life? 
User: I just lose my cousin for COVID-19
Assistant: ","Oh I am so sorry to hear that, how terrible! So you are feeling utterly bereft right now?"," Oh no, that is so awful. I am sorry to hear that. ",0.2419,0.4667
"User: I am not happy at all
Assistant: I am very sorry to hear that, this should be a fun time of year. What is going on in your life? 
User: I just lose my cousin for COVID-19
Assistant: Oh I am so sorry to hear that, how terrible! So you are feeling utterly bereft right now? 
User: It a very bad year!
Assistant: ",Yes it really is for everyone. I had a family member get Covid earlier this year but thankfully they recovered.," I am so sorry to hear that, I lost my mother to COVID last year. I can understand how lonely that can feel ",0.0141,0.1026
"User: I just lose my cousin for COVID-19
Assistant: Oh I am so sorry to hear that, how terrible! So you are feeling utterly bereft right now? 
User: It a very bad year!
Assistant: Yes it really is for everyone. I had a family member get Covid earlier this year but thankfully they recovered. 
User: This person is a good person to every one I didn't pray for this at all
Assistant: ",So you feel let down by the Universe and everything?, I am so sorry to hear that. It must have been very difficult for you. ,0,0.0769
"User: It a very bad year!
Assistant: Yes it really is for everyone. I had a family member get Covid earlier this year but thankfully they recovered. 
User: This person is a good person to every one I didn't pray for this at all
Assistant: So you feel let down by the Universe and everything? 
User: I feel bad I don't even know how am going to cope with my job any more
Assistant: ",Did you know that there will soon be a vaccine available? I know it is too late for your cousin but it might set your mind at rest about the rest of your family, I have been in a similar position. I lost my job and it took a while to find something else. ,0.014,0.0833
"User: This person is a good person to every one I didn't pray for this at all
Assistant: So you feel let down by the Universe and everything? 
User: I feel bad I don't even know how am going to cope with my job any more
Assistant: Did you know that there will soon be a vaccine available? I know it is too late for your cousin but it might set your mind at rest about the rest of your family 
User: I it works
Assistant: ","Well, I think you should try it and see. Hopefully it will work for everyone.", You could start to look for work online - there are lots of opportunities out there ,0.0289,0.069
"User: I feel bad I don't even know how am going to cope with my job any more
Assistant: Did you know that there will soon be a vaccine available? I know it is too late for your cousin but it might set your mind at rest about the rest of your family 
User: I it works
Assistant: Well, I think you should try it and see. Hopefully it will work for everyone. 
User: Because this thing is get out of hand
Assistant: ",Yes. It is quite scary for all of us at the moment. Maybe it will be under control by this time next year though., I think it will get out of hand for some people. But you seem to be doing pretty well. ,0.0929,0.1818
"Assistant: Did you know that there will soon be a vaccine available? I know it is too late for your cousin but it might set your mind at rest about the rest of your family 
User: I it works
Assistant: Well, I think you should try it and see. Hopefully it will work for everyone. 
User: Because this thing is get out of hand
Assistant: Yes. It is quite scary for all of us at the moment. Maybe it will be under control by this time next year though. 
Assistant: ",Can you think of anything to do that would take your mind off things?, I hope you feel better and that you can start to feel better about yourself. ,0.0378,0.1481
"Assistant: Well, I think you should try it and see. Hopefully it will work for everyone. 
User: Because this thing is get out of hand
Assistant: Yes. It is quite scary for all of us at the moment. Maybe it will be under control by this time next year though. 
Assistant: Can you think of anything to do that would take your mind off things? 
User: I don't even know,
Assistant: ",Perhaps you could make a list of the things that you have to look forward to in the New Year? It might help reassure you that things can get better.," Well, perhaps you could take up a new hobby? ",0.0198,0.1818
"Assistant: Yes. It is quite scary for all of us at the moment. Maybe it will be under control by this time next year though. 
Assistant: Can you think of anything to do that would take your mind off things? 
User: I don't even know,
Assistant: Perhaps you could make a list of the things that you have to look forward to in the New Year? It might help reassure you that things can get better. 
User: For now I can't think of any, because I am totally depressed right now, I feel that the world is going to end right now
Assistant: ",Please try not to think like that! I think we will survive. I must go but Merry Christmas !, It does not have to end right now. It will only end if we do not take the right steps. ,0.0324,0.1765
"Assistant: Perhaps you could make a list of the things that you have to look forward to in the New Year? It might help reassure you that things can get better. 
User: For now I can't think of any, because I am totally depressed right now, I feel that the world is going to end right now
Assistant: Please try not to think like that! I think we will survive. I must go but Merry Christmas ! 
User: Merry Christmas to you too. Thanks. 
User: Good bye
Assistant: ",bye!, You're welcome. Good luck! ,0,0.0
"User: For now I can't think of any, because I am totally depressed right now, I feel that the world is going to end right now
Assistant: Please try not to think like that! I think we will survive. I must go but Merry Christmas ! 
User: Merry Christmas to you too. Thanks. 
User: Good bye
Assistant: bye!
Assistant: ",You need to end from your side .. I can't, Merry Christmas to you too. Thanks. ,0.0296,0.125
"User: hi

Assistant: ",Hey! How are you?," Hello, how are you?",0.4082,0.5
"User: hi

Assistant: Hey! How are you?
User: trying to stay positive but keep having too many thoughts at once :(

Assistant: ",What are these thoughts? :), Can you tell me more about the thoughts you are having?,0.0302,0.1333
"User: hi

Assistant: Hey! How are you?
User: trying to stay positive but keep having too many thoughts at once :(

Assistant: What are these thoughts? :)
User: Its so stupid. I keep worrying about worrying or having something bad happen. The thoughts
 just come so fast
Assistant: ","Maybe your mind is just congested with the thoughts of life, and you just need to relax for a little while"," I can relate to this, it can be so frustrating when we are worrying. ",0.0142,0.0588
"User: trying to stay positive but keep having too many thoughts at once :(

Assistant: What are these thoughts? :)
User: Its so stupid. I keep worrying about worrying or having something bad happen. The thoughts
 just come so fast
Assistant: Maybe your mind is just congested with the thoughts of life, and you just need to relax for a little while
User: tried that. its become more of a chronic thing, like sometimes I cant controll the thoughts or like I dont know how to relax. like a chemical thing 
Assistant: ","A chemical thing, so maybe you need a counsellor, and then he can assess your problem, and everything will be alright :)"," It sounds like you have a lot of worries, but you are doing everything you can to manage them",0.0292,0.1579
"User: Its so stupid. I keep worrying about worrying or having something bad happen. The thoughts
 just come so fast
Assistant: Maybe your mind is just congested with the thoughts of life, and you just need to relax for a little while
User: tried that. its become more of a chronic thing, like sometimes I cant controll the thoughts or like I dont know how to relax. like a chemical thing 
Assistant: A chemical thing, so maybe you need a counsellor, and then he can assess your problem, and everything will be alright :)
User: I have one and it helps sometimes. I try to meditate

Assistant: ","Yes, meditation is very good at calming down the mind. Does it help you? If it does maybe do it more continuously and more frequently", Meditation can help you calm down and relax your mind. ,0.0149,0.2424
"User: tried that. its become more of a chronic thing, like sometimes I cant controll the thoughts or like I dont know how to relax. like a chemical thing 
Assistant: A chemical thing, so maybe you need a counsellor, and then he can assess your problem, and everything will be alright :)
User: I have one and it helps sometimes. I try to meditate

Assistant: Yes, meditation is very good at calming down the mind. Does it help you? If it does maybe do it more continuously and more frequently
User: i pretty much have to do it constantly

Assistant: ","Not constantly. because then you won't have anytime to do anything else, but if negative thoughts always come into your head, maybe try doing something you enjoy doing"," Well, maybe you can try to do it before you go to bed, and that will help you to relax more before you sleep",0.0883,0.1364
"User: I have one and it helps sometimes. I try to meditate

Assistant: Yes, meditation is very good at calming down the mind. Does it help you? If it does maybe do it more continuously and more frequently
User: i pretty much have to do it constantly

Assistant: Not constantly. because then you won't have anytime to do anything else, but if negative thoughts always come into your head, maybe try doing something you enjoy doing
User: yeah maybe its as simple as that. I know Im the problem cause its very obvious that im the on ein control of the thoughts for the most part

Assistant: ","Yeah, maybe.  But always look at the bright side of stuff and maybe the negative thoughts can stop"," If you try to control your thoughts, you are doing it wrong, because you can't control your thoughts, they are there. You can only control yourself. You can only control how you respond to your thoughts.",0.0089,0.0526
"User: i pretty much have to do it constantly

Assistant: Not constantly. because then you won't have anytime to do anything else, but if negative thoughts always come into your head, maybe try doing something you enjoy doing
User: yeah maybe its as simple as that. I know Im the problem cause its very obvious that im the on ein control of the thoughts for the most part

Assistant: Yeah, maybe.  But always look at the bright side of stuff and maybe the negative thoughts can stop
User: right. I will try and start that more today and commit to it

Assistant: ",yes that's the spirit! And with that mind set good things will always come to you!, That's a good idea!  I'm sure you can do it,0.0183,0.0769
"User: yeah maybe its as simple as that. I know Im the problem cause its very obvious that im the on ein control of the thoughts for the most part

Assistant: Yeah, maybe.  But always look at the bright side of stuff and maybe the negative thoughts can stop
User: right. I will try and start that more today and commit to it

Assistant: yes that's the spirit! And with that mind set good things will always come to you!
User: yes i agree. when i consistently use meditation and positive attitude, any bad things are defintely minimized

Assistant: ","Yes, as long as you keep focused and not divert into any other thoughts :)"," Yes, that's what I'm here for.  I'm glad you are listening and trying to be positive.  You will get through this!",0.0267,0.1765
